src_bytes,dst_bytes,rischio,timestamp
309,16096,0,2023-01-01 02:27:00
334,0,0,2023-01-01 02:28:00
0,0,0,2023-01-01 02:29:00
0,0,0,2023-01-01 02:30:00
214,283,0,2023-01-01 02:31:00
0,0,0,2023-01-01 02:32:00
0,0,0,2023-01-01 02:33:00
0,0,0,2023-01-01 02:34:00
46,78,1,2023-01-01 02:35:00
748,0,0,2023-01-01 02:36:00
0,0,0,2023-01-01 02:37:00
8,0,1,2023-01-01 02:38:00
0,0,0,2023-01-01 02:39:00
329,8437,0,2023-01-01 02:40:00
9,0,0,2023-01-01 02:41:00
46,128,1,2023-01-01 02:42:00
1766,0,0,2023-01-01 02:43:00
0,0,0,2023-01-01 02:44:00
1,0,0,2023-01-01 02:45:00
8,135,0,2023-01-01 02:46:00
266,529,0,2023-01-01 02:47:00
245,0,0,2023-01-01 02:48:00
295,465,0,2023-01-01 02:49:00
0,0,0,2023-01-01 02:50:00
228,6834,0,2023-01-01 02:51:00
1032,0,1,2023-01-01 02:52:00
0,0,0,2023-01-01 02:53:00
0,0,0,2023-01-01 02:54:00
0,0,0,2023-01-01 02:55:00
0,0,0,2023-01-01 02:56:00
0,0,0,2023-01-01 02:57:00
1,0,1,2023-01-01 02:58:00
0,0,0,2023-01-01 02:59:00
30,0,1,2023-01-01 03:00:00
2078,333,0,2023-01-01 03:01:00
19,0,0,2023-01-01 03:02:00
661,329,0,2023-01-01 03:03:00
28,0,1,2023-01-01 03:04:00
0,0,0,2023-01-01 03:05:00
0,0,0,2023-01-01 03:06:00
0,0,0,2023-01-01 03:07:00
1075,364,0,2023-01-01 03:08:00
223,656,0,2023-01-01 03:09:00
350,1185,0,2023-01-01 03:10:00
233,2470,0,2023-01-01 03:11:00
0,0,0,2023-01-01 03:12:00
0,0,0,2023-01-01 03:13:00
201,1938,0,2023-01-01 03:14:00
271,4781,0,2023-01-01 03:15:00
14416,0,3,2023-01-01 03:16:00
227,11564,0,2023-01-01 03:17:00
0,0,0,2023-01-01 03:18:00
225,2445,0,2023-01-01 03:19:00
176,426,0,2023-01-01 03:20:00
0,0,0,2023-01-01 03:21:00
227,762,0,2023-01-01 03:22:00
855,575,0,2023-01-01 03:23:00
944,330,0,2023-01-01 03:24:00
954,326,0,2023-01-01 03:25:00
0,0,0,2023-01-01 03:26:00
166,34660,0,2023-01-01 03:27:00
306,2698,0,2023-01-01 03:28:00
0,0,0,2023-01-01 03:29:00
0,0,0,2023-01-01 03:30:00
1480,0,1,2023-01-01 03:31:00
0,0,0,2023-01-01 03:32:00
313,8549,0,2023-01-01 03:33:00
0,0,0,2023-01-01 03:34:00
0,0,0,2023-01-01 03:35:00
285,6008,0,2023-01-01 03:36:00
226,1411,0,2023-01-01 03:37:00
256,12984,0,2023-01-01 03:38:00
3740,449,0,2023-01-01 03:39:00
224,449,0,2023-01-01 03:40:00
0,0,0,2023-01-01 03:41:00
832,0,0,2023-01-01 03:42:00
0,0,0,2023-01-01 03:43:00
8,0,1,2023-01-01 03:44:00
201,169,0,2023-01-01 03:45:00
285,304,0,2023-01-01 03:46:00
0,0,0,2023-01-01 03:47:00
7422,0,3,2023-01-01 03:48:00
198,12884,0,2023-01-01 03:49:00
2310,328,0,2023-01-01 03:50:00
331,955,0,2023-01-01 03:51:00
65,0,1,2023-01-01 03:52:00
28,0,1,2023-01-01 03:53:00
45,77,1,2023-01-01 03:54:00
0,0,0,2023-01-01 03:55:00
0,0,0,2023-01-01 03:56:00
0,0,0,2023-01-01 03:57:00
9,142,0,2023-01-01 03:58:00
283,912,0,2023-01-01 03:59:00
221,1789,0,2023-01-01 04:00:00
18,0,1,2023-01-01 04:01:00
0,0,0,2023-01-01 04:02:00
0,0,0,2023-01-01 04:03:00
0,0,0,2023-01-01 04:04:00
302,1380,0,2023-01-01 04:05:00
0,0,0,2023-01-01 04:06:00
8,0,1,2023-01-01 04:07:00
0,0,0,2023-01-01 04:08:00
355,870,0,2023-01-01 04:09:00
8,0,1,2023-01-01 04:10:00
106,1468,0,2023-01-01 04:11:00
286,1423,0,2023-01-01 04:12:00
1,0,0,2023-01-01 04:13:00
0,0,0,2023-01-01 04:14:00
1032,0,1,2023-01-01 04:15:00
168,9551,0,2023-01-01 04:16:00
238,864,0,2023-01-01 04:17:00
0,0,0,2023-01-01 04:18:00
291,10369,0,2023-01-01 04:19:00
0,0,0,2023-01-01 04:20:00
749,330,0,2023-01-01 04:21:00
198,6924,0,2023-01-01 04:22:00
0,0,0,2023-01-01 04:23:00
167,709,0,2023-01-01 04:24:00
241,851,0,2023-01-01 04:25:00
337,3360,0,2023-01-01 04:26:00
729,328,0,2023-01-01 04:27:00
8,0,1,2023-01-01 04:28:00
0,0,0,2023-01-01 04:29:00
222,1483,0,2023-01-01 04:30:00
0,0,0,2023-01-01 04:31:00
0,0,0,2023-01-01 04:32:00
46,134,1,2023-01-01 04:33:00
246,2719,0,2023-01-01 04:34:00
222,771,0,2023-01-01 04:35:00
0,0,0,2023-01-01 04:36:00
0,0,0,2023-01-01 04:37:00
279,9598,0,2023-01-01 04:38:00
226,651,0,2023-01-01 04:39:00
299,447,0,2023-01-01 04:40:00
0,0,0,2023-01-01 04:41:00
12,0,0,2023-01-01 04:42:00
281,1951,0,2023-01-01 04:43:00
0,0,0,2023-01-01 04:44:00
42,42,1,2023-01-01 04:45:00
0,0,0,2023-01-01 04:46:00
0,0,0,2023-01-01 04:47:00
263,453,0,2023-01-01 04:48:00
1,0,0,2023-01-01 04:49:00
0,0,0,2023-01-01 04:50:00
0,0,0,2023-01-01 04:51:00
0,0,0,2023-01-01 04:52:00
283,1980,0,2023-01-01 04:53:00
161,5530,0,2023-01-01 04:54:00
211,321,0,2023-01-01 04:55:00
201,1701,0,2023-01-01 04:56:00
8,0,1,2023-01-01 04:57:00
147,0,1,2023-01-01 04:58:00
0,0,0,2023-01-01 04:59:00
567,0,0,2023-01-01 05:00:00
0,0,0,2023-01-01 05:01:00
0,0,0,2023-01-01 05:02:00
5131424,0,3,2023-01-01 05:03:00
320,420,0,2023-01-01 05:04:00
8,0,1,2023-01-01 05:05:00
0,0,0,2023-01-01 05:06:00
204,1229,0,2023-01-01 05:07:00
0,0,0,2023-01-01 05:08:00
10389,0,3,2023-01-01 05:09:00
0,0,0,2023-01-01 05:10:00
344,573,0,2023-01-01 05:11:00
0,0,0,2023-01-01 05:12:00
0,0,0,2023-01-01 05:13:00
243,821,0,2023-01-01 05:14:00
1032,0,1,2023-01-01 05:15:00
8,0,1,2023-01-01 05:16:00
0,0,0,2023-01-01 05:17:00
105,146,1,2023-01-01 05:18:00
0,0,0,2023-01-01 05:19:00
1080,327,0,2023-01-01 05:20:00
0,0,0,2023-01-01 05:21:00
0,0,0,2023-01-01 05:22:00
0,0,0,2023-01-01 05:23:00
657,326,0,2023-01-01 05:24:00
0,0,0,2023-01-01 05:25:00
284,765,0,2023-01-01 05:26:00
261,15455,0,2023-01-01 05:27:00
317,315,0,2023-01-01 05:28:00
33,0,1,2023-01-01 05:29:00
0,0,0,2023-01-01 05:30:00
0,0,0,2023-01-01 05:31:00
44,70,1,2023-01-01 05:32:00
215,584,0,2023-01-01 05:33:00
0,0,0,2023-01-01 05:34:00
332,2844,0,2023-01-01 05:35:00
978,334,0,2023-01-01 05:36:00
296,5670,0,2023-01-01 05:37:00
0,0,0,2023-01-01 05:38:00
0,0,0,2023-01-01 05:39:00
214,9986,0,2023-01-01 05:40:00
0,0,0,2023-01-01 05:41:00
48,48,1,2023-01-01 05:42:00
226,1301,0,2023-01-01 05:43:00
0,0,0,2023-01-01 05:44:00
78,0,1,2023-01-01 05:45:00
0,0,0,2023-01-01 05:46:00
0,0,0,2023-01-01 05:47:00
0,0,0,2023-01-01 05:48:00
0,0,0,2023-01-01 05:49:00
0,0,0,2023-01-01 05:50:00
294,3327,0,2023-01-01 05:51:00
0,0,0,2023-01-01 05:52:00
220,1249,0,2023-01-01 05:53:00
0,0,0,2023-01-01 05:54:00
196,3282,0,2023-01-01 05:55:00
0,0,0,2023-01-01 05:56:00
327,4482,0,2023-01-01 05:57:00
0,0,0,2023-01-01 05:58:00
319,0,0,2023-01-01 05:59:00
1087,302,0,2023-01-01 06:00:00
210,3754,0,2023-01-01 06:01:00
0,0,0,2023-01-01 06:02:00
0,0,0,2023-01-01 06:03:00
234,6282,0,2023-01-01 06:04:00
8,0,1,2023-01-01 06:05:00
54540,8314,3,2023-01-01 06:06:00
237,1461,0,2023-01-01 06:07:00
0,0,0,2023-01-01 06:08:00
0,0,0,2023-01-01 06:09:00
200,955,0,2023-01-01 06:10:00
219,657,0,2023-01-01 06:11:00
284,5921,0,2023-01-01 06:12:00
0,0,0,2023-01-01 06:13:00
325,426,0,2023-01-01 06:14:00
0,0,0,2023-01-01 06:15:00
30,0,1,2023-01-01 06:16:00
335,7902,0,2023-01-01 06:17:00
36,0,1,2023-01-01 06:18:00
0,0,0,2023-01-01 06:19:00
43,43,1,2023-01-01 06:20:00
0,0,0,2023-01-01 06:21:00
0,0,0,2023-01-01 06:22:00
0,0,0,2023-01-01 06:23:00
0,0,0,2023-01-01 06:24:00
216,1956,0,2023-01-01 06:25:00
0,0,0,2023-01-01 06:26:00
44,78,1,2023-01-01 06:27:00
347,8113,0,2023-01-01 06:28:00
570,280,0,2023-01-01 06:29:00
219,17540,0,2023-01-01 06:30:00
146,0,1,2023-01-01 06:31:00
0,0,0,2023-01-01 06:32:00
0,0,0,2023-01-01 06:33:00
0,0,0,2023-01-01 06:34:00
0,0,0,2023-01-01 06:35:00
1,0,0,2023-01-01 06:36:00
0,0,0,2023-01-01 06:37:00
18,0,1,2023-01-01 06:38:00
0,4,0,2023-01-01 06:39:00
233,581,0,2023-01-01 06:40:00
0,0,0,2023-01-01 06:41:00
276,0,0,2023-01-01 06:42:00
44,139,1,2023-01-01 06:43:00
8,0,1,2023-01-01 06:44:00
1828,148722,0,2023-01-01 06:45:00
200,764,0,2023-01-01 06:46:00
46,46,1,2023-01-01 06:47:00
0,0,0,2023-01-01 06:48:00
0,0,0,2023-01-01 06:49:00
216,5284,0,2023-01-01 06:50:00
0,0,0,2023-01-01 06:51:00
234,997,0,2023-01-01 06:52:00
220,1643,0,2023-01-01 06:53:00
0,0,0,2023-01-01 06:54:00
105,146,1,2023-01-01 06:55:00
0,0,0,2023-01-01 06:56:00
0,0,0,2023-01-01 06:57:00
0,0,0,2023-01-01 06:58:00
0,0,0,2023-01-01 06:59:00
288,2881,0,2023-01-01 07:00:00
0,0,0,2023-01-01 07:01:00
0,0,0,2023-01-01 07:02:00
1,0,1,2023-01-01 07:03:00
28,0,1,2023-01-01 07:04:00
279,494,0,2023-01-01 07:05:00
1032,0,1,2023-01-01 07:06:00
192,0,0,2023-01-01 07:07:00
105,1401,0,2023-01-01 07:08:00
0,0,0,2023-01-01 07:09:00
1330,282,0,2023-01-01 07:10:00
520,0,1,2023-01-01 07:11:00
0,0,0,2023-01-01 07:12:00
230,362,0,2023-01-01 07:13:00
44,110,1,2023-01-01 07:14:00
271,3582,0,2023-01-01 07:15:00
179,1668,0,2023-01-01 07:16:00
852,0,0,2023-01-01 07:17:00
222,310,0,2023-01-01 07:18:00
314,4137,0,2023-01-01 07:19:00
0,0,0,2023-01-01 07:20:00
230,6880,0,2023-01-01 07:21:00
0,0,0,2023-01-01 07:22:00
0,0,0,2023-01-01 07:23:00
857,327,0,2023-01-01 07:24:00
234,1707,0,2023-01-01 07:25:00
1032,0,1,2023-01-01 07:26:00
28,0,1,2023-01-01 07:27:00
0,0,0,2023-01-01 07:28:00
215,6367,0,2023-01-01 07:29:00
46,46,1,2023-01-01 07:30:00
105,146,1,2023-01-01 07:31:00
0,0,0,2023-01-01 07:32:00
0,0,0,2023-01-01 07:33:00
0,0,0,2023-01-01 07:34:00
305,2507,0,2023-01-01 07:35:00
0,0,0,2023-01-01 07:36:00
336,15767,0,2023-01-01 07:37:00
0,0,0,2023-01-01 07:38:00
0,0,0,2023-01-01 07:39:00
147,105,1,2023-01-01 07:40:00
335,1212,0,2023-01-01 07:41:00
0,0,0,2023-01-01 07:42:00
339,241,0,2023-01-01 07:43:00
317,3245,0,2023-01-01 07:44:00
0,0,0,2023-01-01 07:45:00
54540,8314,3,2023-01-01 07:46:00
0,0,0,2023-01-01 07:47:00
42,131,1,2023-01-01 07:48:00
986,368,0,2023-01-01 07:49:00
0,0,0,2023-01-01 07:50:00
183,0,1,2023-01-01 07:51:00
0,0,0,2023-01-01 07:52:00
405,23786,0,2023-01-01 07:53:00
0,0,0,2023-01-01 07:54:00
785,327,0,2023-01-01 07:55:00
258,4302,0,2023-01-01 07:56:00
0,0,0,2023-01-01 07:57:00
8,0,1,2023-01-01 07:58:00
318,2649,0,2023-01-01 07:59:00
0,0,0,2023-01-01 08:00:00
0,0,0,2023-01-01 08:01:00
0,0,0,2023-01-01 08:02:00
216,1240,0,2023-01-01 08:03:00
0,0,0,2023-01-01 08:04:00
291,320,0,2023-01-01 08:05:00
224,546,0,2023-01-01 08:06:00
0,0,0,2023-01-01 08:07:00
0,0,0,2023-01-01 08:08:00
17,42,1,2023-01-01 08:09:00
0,0,0,2023-01-01 08:10:00
29,29,1,2023-01-01 08:11:00
105,147,1,2023-01-01 08:12:00
30,0,1,2023-01-01 08:13:00
325,12884,0,2023-01-01 08:14:00
0,0,0,2023-01-01 08:15:00
0,0,0,2023-01-01 08:16:00
12,0,0,2023-01-01 08:17:00
212,828,0,2023-01-01 08:18:00
240,1475,0,2023-01-01 08:19:00
292,13206,0,2023-01-01 08:20:00
172,12793,0,2023-01-01 08:21:00
0,0,0,2023-01-01 08:22:00
310,788,0,2023-01-01 08:23:00
44,128,1,2023-01-01 08:24:00
145,0,1,2023-01-01 08:25:00
1238,2451,0,2023-01-01 08:26:00
8,0,1,2023-01-01 08:27:00
45,45,1,2023-01-01 08:28:00
0,0,0,2023-01-01 08:29:00
1551,362,0,2023-01-01 08:30:00
1308,328,0,2023-01-01 08:31:00
356,1125,0,2023-01-01 08:32:00
364,6914,0,2023-01-01 08:33:00
331,776,0,2023-01-01 08:34:00
30,0,1,2023-01-01 08:35:00
0,0,0,2023-01-01 08:36:00
0,0,0,2023-01-01 08:37:00
247,7546,0,2023-01-01 08:38:00
300,1841,0,2023-01-01 08:39:00
0,0,0,2023-01-01 08:40:00
355,2109,0,2023-01-01 08:41:00
0,0,0,2023-01-01 08:42:00
316,1260,0,2023-01-01 08:43:00
44,136,1,2023-01-01 08:44:00
1458,4152,0,2023-01-01 08:45:00
0,0,0,2023-01-01 08:46:00
146,105,1,2023-01-01 08:47:00
0,0,0,2023-01-01 08:48:00
0,0,0,2023-01-01 08:49:00
1,0,1,2023-01-01 08:50:00
0,0,0,2023-01-01 08:51:00
0,0,0,2023-01-01 08:52:00
146,105,1,2023-01-01 08:53:00
0,0,0,2023-01-01 08:54:00
13794,2966,3,2023-01-01 08:55:00
0,0,0,2023-01-01 08:56:00
911,325,0,2023-01-01 08:57:00
0,0,0,2023-01-01 08:58:00
280,3332,0,2023-01-01 08:59:00
0,0,0,2023-01-01 09:00:00
0,0,0,2023-01-01 09:01:00
41,41,1,2023-01-01 09:02:00
10,139,0,2023-01-01 09:03:00
311,488,0,2023-01-01 09:04:00
281,1745,0,2023-01-01 09:05:00
297,1285,0,2023-01-01 09:06:00
0,0,0,2023-01-01 09:07:00
43,72,1,2023-01-01 09:08:00
0,0,0,2023-01-01 09:09:00
334,0,0,2023-01-01 09:10:00
8,0,1,2023-01-01 09:11:00
215,9399,0,2023-01-01 09:12:00
0,0,0,2023-01-01 09:13:00
0,0,0,2023-01-01 09:14:00
516,4,1,2023-01-01 09:15:00
0,0,0,2023-01-01 09:16:00
0,0,0,2023-01-01 09:17:00
0,0,0,2023-01-01 09:18:00
0,0,0,2023-01-01 09:19:00
44,44,1,2023-01-01 09:20:00
0,0,0,2023-01-01 09:21:00
676,328,0,2023-01-01 09:22:00
334,455,0,2023-01-01 09:23:00
0,0,0,2023-01-01 09:24:00
0,0,0,2023-01-01 09:25:00
204,1596,0,2023-01-01 09:26:00
520,0,1,2023-01-01 09:27:00
0,0,0,2023-01-01 09:28:00
192,301,0,2023-01-01 09:29:00
18,0,1,2023-01-01 09:30:00
0,0,0,2023-01-01 09:31:00
0,0,0,2023-01-01 09:32:00
0,0,0,2023-01-01 09:33:00
256,4486,0,2023-01-01 09:34:00
64,0,1,2023-01-01 09:35:00
46,136,1,2023-01-01 09:36:00
0,0,0,2023-01-01 09:37:00
220,253,0,2023-01-01 09:38:00
41,117,1,2023-01-01 09:39:00
248,2313,0,2023-01-01 09:40:00
1250,2451,0,2023-01-01 09:41:00
0,0,0,2023-01-01 09:42:00
44,70,1,2023-01-01 09:43:00
209,1824,0,2023-01-01 09:44:00
5891,0,3,2023-01-01 09:45:00
8,0,1,2023-01-01 09:46:00
276,1767,0,2023-01-01 09:47:00
231,2304,0,2023-01-01 09:48:00
0,0,0,2023-01-01 09:49:00
312,422,0,2023-01-01 09:50:00
1,0,0,2023-01-01 09:51:00
0,0,0,2023-01-01 09:52:00
29,0,1,2023-01-01 09:53:00
13239,0,3,2023-01-01 09:54:00
0,0,0,2023-01-01 09:55:00
8,223,0,2023-01-01 09:56:00
0,0,0,2023-01-01 09:57:00
44,79,1,2023-01-01 09:58:00
0,0,0,2023-01-01 09:59:00
0,0,0,2023-01-01 10:00:00
324,10647,0,2023-01-01 10:01:00
0,0,0,2023-01-01 10:02:00
18,0,1,2023-01-01 10:03:00
355,657,0,2023-01-01 10:04:00
1,0,0,2023-01-01 10:05:00
0,0,0,2023-01-01 10:06:00
54540,8314,3,2023-01-01 10:07:00
205,253,0,2023-01-01 10:08:00
0,0,0,2023-01-01 10:09:00
325,753,0,2023-01-01 10:10:00
0,0,0,2023-01-01 10:11:00
232,193,0,2023-01-01 10:12:00
886,326,0,2023-01-01 10:13:00
319,3432,0,2023-01-01 10:14:00
0,0,0,2023-01-01 10:15:00
0,0,0,2023-01-01 10:16:00
147,12141,0,2023-01-01 10:17:00
1451,330,0,2023-01-01 10:18:00
54540,8314,3,2023-01-01 10:19:00
235,1889,0,2023-01-01 10:20:00
0,0,0,2023-01-01 10:21:00
0,0,0,2023-01-01 10:22:00
299,1540,0,2023-01-01 10:23:00
0,0,0,2023-01-01 10:24:00
0,0,0,2023-01-01 10:25:00
0,0,0,2023-01-01 10:26:00
0,0,0,2023-01-01 10:27:00
237,241,0,2023-01-01 10:28:00
0,0,0,2023-01-01 10:29:00
146,105,1,2023-01-01 10:30:00
0,0,0,2023-01-01 10:31:00
146,105,1,2023-01-01 10:32:00
202,1923,0,2023-01-01 10:33:00
0,0,0,2023-01-01 10:34:00
383,0,0,2023-01-01 10:35:00
345,2254,0,2023-01-01 10:36:00
278,6546,0,2023-01-01 10:37:00
0,0,0,2023-01-01 10:38:00
196,16143,0,2023-01-01 10:39:00
0,0,0,2023-01-01 10:40:00
277,2253,0,2023-01-01 10:41:00
203,578,0,2023-01-01 10:42:00
0,0,0,2023-01-01 10:43:00
147,105,1,2023-01-01 10:44:00
0,0,0,2023-01-01 10:45:00
0,0,0,2023-01-01 10:46:00
0,0,0,2023-01-01 10:47:00
0,0,0,2023-01-01 10:48:00
367,5199,0,2023-01-01 10:49:00
0,0,0,2023-01-01 10:50:00
257,23051,0,2023-01-01 10:51:00
8,0,1,2023-01-01 10:52:00
44,44,1,2023-01-01 10:53:00
128,44,1,2023-01-01 10:54:00
254,523,0,2023-01-01 10:55:00
225,22996,0,2023-01-01 10:56:00
775,331,0,2023-01-01 10:57:00
314,266,0,2023-01-01 10:58:00
0,0,0,2023-01-01 10:59:00
525,335,0,2023-01-01 11:00:00
0,0,0,2023-01-01 11:01:00
1,0,1,2023-01-01 11:02:00
213,37327,0,2023-01-01 11:03:00
190,8654,0,2023-01-01 11:04:00
0,0,0,2023-01-01 11:05:00
28,0,1,2023-01-01 11:06:00
0,0,0,2023-01-01 11:07:00
1067,3081,0,2023-01-01 11:08:00
126,44,1,2023-01-01 11:09:00
333,2547,0,2023-01-01 11:10:00
0,0,0,2023-01-01 11:11:00
4491,0,0,2023-01-01 11:12:00
0,0,0,2023-01-01 11:13:00
54540,8314,3,2023-01-01 11:14:00
239,255,0,2023-01-01 11:15:00
0,0,0,2023-01-01 11:16:00
1258,359,0,2023-01-01 11:17:00
0,0,0,2023-01-01 11:18:00
0,0,0,2023-01-01 11:19:00
0,0,0,2023-01-01 11:20:00
42,65,1,2023-01-01 11:21:00
224,1270,0,2023-01-01 11:22:00
231,3215,0,2023-01-01 11:23:00
147,105,1,2023-01-01 11:24:00
44,72,1,2023-01-01 11:25:00
183,0,1,2023-01-01 11:26:00
0,0,0,2023-01-01 11:27:00
0,0,0,2023-01-01 11:28:00
125,179,0,2023-01-01 11:29:00
13,40,0,2023-01-01 11:30:00
233,4759,0,2023-01-01 11:31:00
30,0,1,2023-01-01 11:32:00
0,0,0,2023-01-01 11:33:00
278,7958,0,2023-01-01 11:34:00
0,0,0,2023-01-01 11:35:00
0,0,0,2023-01-01 11:36:00
237,5193,0,2023-01-01 11:37:00
301,2698,0,2023-01-01 11:38:00
246,3295,0,2023-01-01 11:39:00
230,12471,0,2023-01-01 11:40:00
46,82,1,2023-01-01 11:41:00
147,105,1,2023-01-01 11:42:00
0,0,0,2023-01-01 11:43:00
641,0,0,2023-01-01 11:44:00
28,0,1,2023-01-01 11:45:00
0,0,0,2023-01-01 11:46:00
82,1,0,2023-01-01 11:47:00
0,0,0,2023-01-01 11:48:00
0,0,0,2023-01-01 11:49:00
0,0,0,2023-01-01 11:50:00
46,80,1,2023-01-01 11:51:00
0,0,0,2023-01-01 11:52:00
0,0,0,2023-01-01 11:53:00
376,345,0,2023-01-01 11:54:00
0,0,0,2023-01-01 11:55:00
105,146,1,2023-01-01 11:56:00
334,0,0,2023-01-01 11:57:00
0,0,0,2023-01-01 11:58:00
30,0,1,2023-01-01 11:59:00
1053,329,0,2023-01-01 12:00:00
46,130,1,2023-01-01 12:01:00
45,119,1,2023-01-01 12:02:00
1539,395,0,2023-01-01 12:03:00
